,filename,result_50_features,distance_50_features,time_50_features,result_100_features,distance_100_features,time_100_features,result_200_features,distance_200_features,time_200_features,result_300_features,distance_300_features,time_300_features
156,20190217_104435.jpg,"['zaal_6__IMG_20190323_112917__01.png', 'zaal_19__IMG_20190323_121457__13.png']","[561.0, 1435.0]","[0.24568074999999112, 0.248788707999978]","['zaal_6__IMG_20190323_112917__01.png', 'zaal_19__IMG_20190323_121411__10.png']","[382.0, 1173.0]","[0.27990762499996436, 0.2828866670000707]","['zaal_6__IMG_20190323_112917__01.png', 'zaal_19__IMG_20190323_121523__07.png']","[328.0, 981.0]","[0.40523012500000277, 0.4089984159999176]","['zaal_6__IMG_20190323_112917__01.png', 'Zaal_B__20190323_112409__01.png']","[275.0, 879.0]","[0.5396835830001692, 0.5468054999998913]"
157,20190203_111215.jpg,['zaal_19__IMG_20190323_121545__06.png'],[1479.0],[0.24615124999999694],['Zaal_M__20190323_123723__01.png'],[547.0],[0.279734084000097],['Zaal_M__20190323_123723__01.png'],[360.0],[0.41546979099996406],['Zaal_M__20190323_123723__01.png'],[279.0],[0.5346939579999344]
158,20190217_101439.jpg,['zaal_S__IMG_20190323_122919__08.png'],[1376.0],[0.23970908399999757],['Zaal_E__20190323_114705__01.png'],[522.0],[0.270929707999926],['Zaal_E__20190323_114705__01.png'],[449.0],[0.38607412499993643],['Zaal_E__20190323_114705__01.png'],[434.0],[0.533087875000092]
159,20190217_110508.jpg,['Zaal_E__20190323_115537__01.png'],[940.0],[0.24356537500000286],['Zaal_E__20190323_115537__01.png'],[623.0],[0.2788412500000277],['Zaal_E__20190323_115537__01.png'],[510.0],[0.41375237499994455],['Zaal_E__20190323_115537__01.png'],[448.0],[0.5313328749998618]
160,20190217_101611.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
161,20190217_102330.jpg,"['zaal_V__IMG_20190323_121732__01.png', 'zaal_S__IMG_20190323_122759__01.png', 'zaal_II__IMG_20190323_111200__01.png']","[867.0, 1310.0, 1407.0]","[0.2394209170000181, 0.246028750000022, 0.24767937500001835]","['zaal_V__IMG_20190323_121732__01.png', 'zaal_V__IMG_20190323_121740__01.png', 'zaal_S__IMG_20190323_122553__02.png']","[554.0, 704.0, 1186.0]","[0.28088195800000904, 0.2806004579999808, 0.28086849999999686]","['zaal_V__IMG_20190323_121732__01.png', 'zaal_V__IMG_20190323_121740__01.png', 'zaal_V__IMG_20190323_121743__01.png']","[442.0, 616.0, 837.0]","[0.4066187500000069, 0.41529237500003546, 0.40889291700000285]","['zaal_V__IMG_20190323_121732__01.png', 'zaal_V__IMG_20190323_121740__01.png', 'zaal_V__IMG_20190323_121743__01.png']","[410.0, 463.0, 707.0]","[0.5122797499998342, 0.5330377919999592, 0.5531844170000113]"
162,20190217_112447.jpg,"['zaal_19__IMG_20190323_121411__07.png', 'zaal_19__IMG_20190323_121434__09.png', 'zaal_10__IMG_20190323_113924__01.png', 'zaal_V__IMG_20190323_121829__01.png', 'zaal_10__IMG_20190323_113824__01.png']","[1395.0, 1410.0, 1329.0, 1384.0, 1510.0]","[0.23797366700000566, 0.2548962500000016, 0.24787875000001236, 0.23626616600000716, 0.23740204200001358]","['zaal_19__IMG_20190323_121420__08.png', 'zaal_19__IMG_20190323_121349__01.png', 'zaal_19__IMG_20190323_121339__02.png', 'zaal_19__IMG_20190323_121420__09.png', 'zaal_19__IMG_20190323_121346__01.png']","[865.0, 640.0, 852.0, 780.0, 508.0]","[0.27610875000004853, 0.27397562500004824, 0.2782903330000863, 0.27270229199996265, 0.27730783300000894]","['zaal_19__IMG_20190323_121420__08.png', 'zaal_19__IMG_20190323_121349__01.png', 'zaal_19__IMG_20190323_121420__12.png', 'zaal_19__IMG_20190323_121420__09.png', 'zaal_19__IMG_20190323_121346__01.png']","[735.0, 490.0, 691.0, 629.0, 417.0]","[0.40096358300002066, 0.40808037499994043, 0.394607542000017, 0.40168020800001614, 0.4029771250000067]","['zaal_19__IMG_20190323_121420__08.png', 'zaal_19__IMG_20190323_121349__01.png', 'zaal_19__IMG_20190323_121420__12.png', 'zaal_19__IMG_20190323_121342__01.png', 'zaal_19__IMG_20190323_121346__01.png']","[669.0, 464.0, 649.0, 547.0, 409.0]","[0.520959208000022, 0.5237734999998338, 0.5214479589999428, 0.5318631249999726, 0.5472429169999486]"
163,20190203_112044.jpg,['zaal_S__IMG_20190323_122919__03.png'],[1309.0],[0.24655108300001416],['Zaal_B__20190323_112346__01.png'],[1013.0],[0.2809887500000059],['zaal_1__IMG_20190323_111817__01.png'],[779.0],[0.4069898340000009],['zaal_1__IMG_20190323_111817__01.png'],[682.0],[0.5375770420000663]
164,20190217_113639.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
165,20190217_104423.jpg,"['zaal_6__IMG_20190323_112910__01.png', 'zaal_11__IMG_20190323_114053__01.png']","[407.0, 1436.0]","[0.24704974999997376, 0.24273791699999947]","['zaal_6__IMG_20190323_112910__01.png', 'zaal_15__IMG_20190323_115813__01.png']","[299.0, 1169.0]","[0.28177658300000985, 0.2749608750000334]","['zaal_6__IMG_20190323_112910__01.png', 'Zaal_B__20190323_112409__01.png']","[242.0, 994.0]","[0.40977062499996464, 0.4060426669999515]","['zaal_6__IMG_20190323_112910__01.png', 'Zaal_B__20190323_112409__01.png']","[225.0, 900.0]","[0.5513384159999077, 0.5475617499998862]"
