,Room,Photo,path,kind
54,Zaal_D,20190323_113624,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113624.jpg,FN
55,Zaal_D,20190323_113724,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113724.jpg,TP
56,Zaal_D,20190323_113753,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113753.jpg,TP
57,Zaal_D,20190323_113825,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113825.jpg,TP
58,Zaal_D,20190323_113850,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113850.jpg,FN
59,Zaal_D,20190323_113929,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113929.jpg,TP
60,Zaal_D,20190323_113949,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113949.jpg,TP
61,Zaal_D,20190323_114017,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_114017.jpg,TP
62,Zaal_D,20190323_114047,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_114047.jpg,TP
63,Zaal_D,20190323_114112,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_114112.jpg,TP
64,Zaal_D,20190323_114140,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_114140.jpg,TP
65,Zaal_E,20190323_114440,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_114440.jpg,FN
66,Zaal_E,20190323_114457,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_114457.jpg,FN
67,Zaal_E,20190323_114514,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_114514.jpg,FN
